record_id,date,road_name,vehicle_count,average_speed_kmph,traffic_density,weather
1,2024-01-01 00:00:00,Main Street,111,30,Low,Foggy
2,2024-01-01 01:00:00,Bypass Road,133,23,Low,Clear
3,2024-01-01 02:00:00,City Ring Road,417,34,Low,Rainy
4,2024-01-01 03:00:00,Bypass Road,266,25,Low,Foggy
5,2024-01-01 04:00:00,Bypass Road,391,73,High,Clear
6,2024-01-01 05:00:00,NH-48,446,68,Low,Clear
7,2024-01-01 06:00:00,City Ring Road,236,49,Medium,Clear
8,2024-01-01 07:00:00,City Ring Road,68,75,Medium,Rainy
9,2024-01-01 08:00:00,City Ring Road,226,57,Medium,Foggy
10,2024-01-01 09:00:00,Bypass Road,149,70,High,Rainy
11,2024-01-01 10:00:00,Main Street,445,76,Medium,Clear
12,2024-01-01 11:00:00,City Ring Road,494,21,High,Rainy
13,2024-01-01 12:00:00,Bypass Road,282,34,Medium,Foggy
14,2024-01-01 13:00:00,NH-48,452,30,Medium,Rainy
15,2024-01-01 14:00:00,Main Street,125,27,High,Foggy
16,2024-01-01 15:00:00,NH-48,314,45,Low,Rainy
17,2024-01-01 16:00:00,Main Street,333,70,Low,Rainy
18,2024-01-01 17:00:00,Bypass Road,255,64,High,Clear
19,2024-01-01 18:00:00,NH-44,272,63,Low,Clear
20,2024-01-01 19:00:00,Main Street,433,24,High,Clear
21,2024-01-01 20:00:00,NH-48,101,25,Medium,Rainy
22,2024-01-01 21:00:00,Bypass Road,388,45,High,Clear
23,2024-01-01 22:00:00,Main Street,416,73,High,Foggy
24,2024-01-01 23:00:00,NH-44,193,23,Medium,Foggy
25,2024-01-02 00:00:00,NH-44,422,38,High,Rainy
26,2024-01-02 01:00:00,City Ring Road,118,39,Medium,Clear
27,2024-01-02 02:00:00,City Ring Road,148,52,High,Clear
28,2024-01-02 03:00:00,NH-48,445,39,Low,Clear
29,2024-01-02 04:00:00,Main Street,74,68,Medium,Rainy
30,2024-01-02 05:00:00,Main Street,485,31,Low,Rainy
31,2024-01-02 06:00:00,City Ring Road,428,66,Medium,Foggy
32,2024-01-02 07:00:00,Main Street,102,20,Low,Clear
33,2024-01-02 08:00:00,Main Street,200,45,High,Foggy
34,2024-01-02 09:00:00,NH-44,193,33,High,Foggy
35,2024-01-02 10:00:00,City Ring Road,106,57,High,Clear
36,2024-01-02 11:00:00,Bypass Road,88,56,Low,Foggy
37,2024-01-02 12:00:00,City Ring Road,158,30,Medium,Clear
38,2024-01-02 13:00:00,Bypass Road,230,55,Medium,Clear
39,2024-01-02 14:00:00,NH-44,91,32,Medium,Rainy
40,2024-01-02 15:00:00,NH-48,235,62,Medium,Clear
41,2024-01-02 16:00:00,Main Street,472,22,Medium,Rainy
42,2024-01-02 17:00:00,NH-44,447,52,High,Rainy
43,2024-01-02 18:00:00,Main Street,272,25,Medium,Clear
44,2024-01-02 19:00:00,NH-48,171,69,Medium,Clear
45,2024-01-02 20:00:00,NH-48,182,75,Low,Clear
46,2024-01-02 21:00:00,NH-44,212,29,Low,Clear
47,2024-01-02 22:00:00,NH-48,264,24,Low,Clear
48,2024-01-02 23:00:00,Bypass Road,270,42,High,Clear
49,2024-01-03 00:00:00,NH-48,284,29,Low,Clear
50,2024-01-03 01:00:00,Main Street,380,63,Low,Clear
51,2024-01-03 02:00:00,Main Street,195,21,Medium,Clear
52,2024-01-03 03:00:00,Main Street,288,32,High,Rainy
53,2024-01-03 04:00:00,Main Street,125,59,High,Rainy
54,2024-01-03 05:00:00,Bypass Road,58,21,High,Clear
